ORDINAL_POSITION,COLUMN_NAME,ROW_2_SOURCE_HEADER,SNOWFLAKE_TYPE,CATEGORY,DEFINITION,SOURCE_HEADERS_OBSERVED
42,DISCOVER_CTR_REPORTING_MONTH,Discover CTR | Reporting Month,"NUMBER(38,9)",canonical_row_2,Discover CTR in reporting month.,Discover CTR | Reporting Month
43,GSC_CLICKS_REPORTING_MONTH,GSC Clicks | Reporting Month,"NUMBER(38,9)",canonical_row_2,GSC clicks in reporting month.,GSC Clicks | Last Completed Month | GSC Clicks | Reporting Month
44,DISCOVER_PCT_REPORTING_MONTH,Discover % | Reporting Month,"NUMBER(38,9)",canonical_row_2,Discover clicks divided by GSC clicks in reporting month.,Discover % | Last Completed Month (Discover / GSC Clicks) | Discover % | Reporting Month
45,GSC_CLICKS_P3MA,GSC Clicks | P3MA,"NUMBER(38,9)",canonical_row_2,Reported GSC clicks P3MA.,GSC Clicks | P3MA
46,DISCOVER_PCT_P3MA,Discover % | P3MA,"NUMBER(38,9)",canonical_row_2,Reported Discover share P3MA; historical unit and calculation differences are flagged.,Discover % | P3MA | Discover Clicks % | P3MA (Discover / GSC Clicks)
47,OPTIMIZED_OG_TITLES,Optimized OG Titles,VARCHAR,canonical_row_2,Current optimized OG-title pass/fail status.,Optimized OG Titles
48,OPTIMIZED_OG_IMAGES,Optimized OG Images,VARCHAR,canonical_row_2,Current optimized OG-image pass/fail status using at least 1200 pixels.,Optimized OG Images
49,AVG_ADS_TO_CONTENT_RATIO,Avg Ads-to-Content Ratio,"NUMBER(38,9)",canonical_row_2,Average ads-to-content ratio.,AVG_ADS_TO_CONTENT_RATIO | Avg Ads-to-Content Ratio
50,MOBILE_AD_DENSITY,Mobile Ad Density,"NUMBER(38,9)",canonical_row_2,Latest mobile ad density.,Mobile Ad Density
51,AVG_ADS_IN_VIEW,Avg Ads in View,"NUMBER(38,9)",canonical_row_2,Average ads in view.,AVG_ADS_IN_VIEW | Avg Ads in View
52,AVG_AD_REFRESH,Avg Ad Refresh,"NUMBER(38,9)",canonical_row_2,Average ad refresh.,AVG_AD_REFRESH | Avg Ad Refresh
53,TOTAL_UNIQUE_GPIDS,Total Unique GPIDs,"NUMBER(38,0)",canonical_row_2,Total unique GPIDs.,TOTAL_UNIQUE_GPIDS | Total Unique GPIDs
54,AVG_PAGE_WEIGHT,Avg Page Weight,"NUMBER(38,9)",canonical_row_2,Average page weight.,AVG_PAGE_WEIGHT | Avg Page Weight
55,CLS,CLS,"NUMBER(38,9)",canonical_row_2,Cumulative Layout Shift.,CLS
56,INP,INP,"NUMBER(38,9)",canonical_row_2,Interaction to Next Paint.,INP
57,LCP,LCP,"NUMBER(38,9)",canonical_row_2,Largest Contentful Paint.,LCP
58,WORKBOOK_ACCESS,Workbook Access? (Y/N),BOOLEAN,canonical_row_2,Whether the site has workbook access.,Workbook Access? (Y/N)
59,WORKBOOK_VISITS,Workbook Visits,"NUMBER(38,0)",canonical_row_2,Workbook visits in the reporting period.,Workbook Visits
60,PTU_RECS_GIVEN,PTU Recs Given,"NUMBER(38,0)",canonical_row_2,Pages-to-update recommendations issued.,PTU Recs Given
61,AS_BIN,AS BIN,VARCHAR,canonical_row_2,Semrush authority-score bin.,AS BIN
62,ACTIVE_BIN,Active Bin,VARCHAR,canonical_row_2,Active/inactive bin.,Active Bin
63,YOY_BIN,YoY Bin,VARCHAR,canonical_row_2,Year-over-year performance bin.,YoY Bin
64,A2C_BIN,A2C Bin,VARCHAR,canonical_row_2,Ads-to-content bin.,A2C Bin
65,ONE_MILLION_CLUB,1M Club?,BOOLEAN,canonical_row_2,Whether the site is in the one-million-PV club.,1M Club?
66,PV_STATUS,PV Status,VARCHAR,canonical_row_2,Pageview data quality/status bin.,PV Status
67,SOURCE_FILE_ID,,VARCHAR,lineage,Google Drive file ID or local source ID.,
68,SOURCE_FILE_NAME,,VARCHAR,lineage,Source file title.,
69,SOURCE_URL,,VARCHAR,lineage,Source URL when available.,
70,SOURCE_TAB,,VARCHAR,lineage,Source tab.,
71,SOURCE_MODIFIED_AT,,TIMESTAMP_TZ,lineage,Source modified timestamp.,
72,SOURCE_ROW_NUMBER,,"NUMBER(38,0)",lineage,One-based source row number.,
73,SOURCE_SCOPE,,VARCHAR,lineage,"Network, vertical partition, or historical subset scope.",
74,REPORTING_SCOPE_STATUS,,VARCHAR,lineage,Coverage status for the reporting month.,
75,SOURCE_SCHEMA_VERSION,,VARCHAR,lineage,Named source schema vintage.,
76,SOURCE_QUALITY_FLAGS,,VARCHAR,lineage,Semicolon-delimited source quality flags.,
